Estado	Título	Emisores	Ticker	Fecha de Alta	Vencimiento	Moneda	Ley Aplicable	Jurisdicción	Negociación	Código ISIN	Serie/Clase	Monto colocado	Monto Autorizado	Fecha de colocación	Régimen	Colocadores	Calificación de riesgo	Licitador	Tasa/Margen	Precio de Corte	TIR	Duration
Normal	ON - COEMISION CLASE XLV DE GENERACION MEDITERRANEA -CENTRAL TERMICA ROCA	GENERACION MEDITERRANEA S.A.	MR45O 	27/07/2026	30/06/2036	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	USP46214AJ49	CLASE XLV	0	0						0	0	0	
Normal	ON BANCO BBVA ARGENTINA CLASE 48	BANCO BBVA ARGENTINA S.A.	BF48O 	24/07/2026	24/01/2028	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0751637247	CLASE 48	20000000	42074070	2026-07-21T03:00:00		105,61,686,657,693,786	Fix SCR S.A. AAA(arg) 	105	3.75	0	3.75	1.48 AÑOS
Normal	ON BANCO BBVA ARGENTINA CLASE 49	BANCO BBVA ARGENTINA S.A.	BF49O 	24/07/2026	24/07/2027	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0705166111	CLASE 49	20000000	34323771	2026-07-21T03:00:00		105,61,657,693,786,686	Fix SCR S.A. A1+(arg) 	105	3.25	0	3.25	1.00 AÑOS
Normal	ON BANCO BBVA ARGENTINA CLASE 50	BANCO BBVA ARGENTINA S.A.	BF50O 	24/07/2026	24/07/2028	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0379091751	CLASE 50	20000000	58729484	2026-07-21T03:00:00		105,61,657,786,686,693	Fix SCR S.A. AAA(arg) 	105	5	0	5	1.93 AÑOS
Normal	ON ROMBO CIA FINANCIERA SERIE 67	ROMBO COMPAÑIA FINANCIERA S.A.	RB67O 	17/07/2026	17/10/2027	Pesos argentinos ($)	Argentina		A3/BYMA	AR0936856209	SERIE 67	10000000000	17063737777	2026-07-14T03:00:00		105,657,38,667,229,141	FIX SCR: "AAsf(arg)" 	105	4.5	0	4.5	0.91 AÑOS
Normal	ON ROMBO CIA FINANCIERA SERIE 68	ROMBO COMPAÑIA FINANCIERA S.A.	RB68O 	17/07/2026	17/04/2027	Pesos argentinos ($)	Argentina		A3/BYMA	AR0838667225	SERIE 68	10000000000	4557500000	2026-07-14T03:00:00		105,38,657,667,229,141	FIX SCR: "A1+sf(arg)" 	105	2.15	0	2.15	0.76 AÑOS
Normal	ON CLASE XXXII DE VISTA ENERGY ARGENTINA S.A.	VISTA ENERGY ARGENTINA S.A.U.	VSCYO 	16/07/2026	16/01/2028	Dólares transferencia	Argentina		A3/BYMA	AR0844430410	CLASE XXXII	0	0				FIX SCR "A1+(Arg)" 	037	0	0	0	
Normal	ON CLASE XXXIII DE VISTA ENERGY ARGENTINA S.A.U.	VISTA ENERGY ARGENTINA S.A.U.	VSCZO 	16/07/2026	16/07/2029	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0647284436	CLASE XXXIII	0	0				FIX SCR " AAA (Arg)" 	037	0	0	0	
Normal	ON COEIMISION SERIE XLIII DE GENERACION MEDITERRANEA- CENTRAL TERMICA ROCA 	GENERACION MEDITERRANEA S.A.	MR43O 	15/07/2026	30/06/2036	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0870185862	SERIE XLIII	0	0						0	0	0	
Normal	ON COEMISION SERIE XLIV DE GENERACION MEDITERRANEA -CENTRAL TERMICA ROCA S.A.	GENERACION MEDITERRANEA S.A.	MR44O 	15/07/2026	30/06/2036	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0896413520	SERIE XLIV	0	0						0	0	0	
Normal	ON BANCO DE SERVICIOS Y TRANSACCIONES CLASE 29	BANCO DE SERVICIOS Y TRANSACCIONES S.A.	BVCVO 	15/07/2026	15/07/2027	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0413285237	CLASE 29	5000000	20518672	2026-07-13T03:00:00		630,73,55,786,229,667,697,670,693,R10,694	Moody's Local: "ML A-1.ar" 	001	5	0	5	11.91 MESES
Normal	ON BANCO DE SERVICIOS Y TRANSACCIONES CLASE 30	BANCO DE SERVICIOS Y TRANSACCIONES S.A.	BVCWO 	15/07/2026	15/07/2028	UVA	Argentina		A3/BYMA	AR0127432851	CLASE 30	5000000	4191519	2026-07-13T03:00:00		630,786,55,229,73,667,697,670,693,R10,694	Moody's Local: "A.ar" 	001	6	0	6	20.22 MESES
Normal	ON BANCO DE VALORES SERIE 4	BANCO DE VALORES S.A.	VBC4O 	14/07/2026	14/07/2027	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0291133426	SERIE 4	15000000	20000000	2026-07-13T03:00:00		662	Moody's Local: "ML A-1.ar" 	632	4.25	0	4.25	1.01 AÑOS
Normal	ON CLASE 11 DE Empresa Distribuidora y Comercializadora Norte S.A.	Empresa Distribuidora y Comercializadora Norte S.A. (EDENOR)	DNCBO 	03/07/2026	03/07/2029	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0585477562	CLASE 11	150000000	213462519	2026-07-02T03:00:00		659,657,142,141		659	7.5	0	7.5	2.744 AÑOS
Normal	ON CLASE 3 de EMPRESA DISTRIBUIDORA DE ELECTRICIDAD DE SALTA (EDESA) S.A.	Empresa Distribuidora de Electricidad de Salta (EDESA) S.A.	DEC3O 	03/07/2026	03/07/2027	Pesos argentinos ($)	Argentina		A3/BYMA	AR0862258230	CLASE 3	20000000	19824115944	2026-07-01T03:00:00		657,105,38,273,229,142,667,606,197,648,659	Fix SCR "A1 (Arg)" 	657	6	0	6	0.80 AÑOS
Normal	ON CLASE 4 DE Empresa Distribuidora de Electricidad de Salta (EDESA ) S.A.	Empresa Distribuidora de Electricidad de Salta (EDESA) S.A.	DEC4O 	03/07/2026	03/07/2028	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0236391766	CLASE 4	20000000	11012458	2026-07-01T03:00:00		657,105,38,273,229,142,667,606,197,648,659	Fix SCR "A+ (Arg)" 	657	8.5	0	8.5	1.82 AÑOS
Normal	ON BANCO MARIVA SERIE III	BANCO MARIVA S.A.	WBS3O 	30/06/2026	06/07/2027	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0148949040	SERIE III	10000000	46491206	2026-06-26T03:00:00		142,37,657,480,667	Moody´s “ML A-1.ar" 	142	6	0	6	11.93 MESES
Normal	ON CLASE 7 DE PLUSPETROL S.A. 	PLUSPETROL S.A.	PLC7O 	30/06/2026	30/06/2037	Dólares estadounidenses (U$S)	Extranjera		A3/BYMA	USP7924AAD02	CLASE 7	0	0						0	0	0	
Normal	ON CLASE 5 DE PLAZA LOGISTICA SRL emitida bajo el régimen de Emisor Frecuente	PLAZA LOGISTICA SRL	ZPC5O 	26/06/2026	26/06/2029	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0514899985	CLASE 5	15000000	20000000	2026-06-24T03:00:00		141,37,657,693,648,697,660,686	Fix SCR "AA (arg)" 	657	6.5	0	6.5	2.7 AÑOS
Normal	ON BANCO SANTANDER ARGENTINA CLASE XXXII	Banco Santander Río S.A.	BNCYO 	23/06/2026	23/06/2027	Pesos argentinos ($)	Argentina		A3/BYMA	AR0563811915	CLASE XXXII	50000000000	127141315941	2026-06-19T03:00:00		141	Fix SCR S.A.  A1+(arg) 	141	3.25	0	3.25	0.91 AÑOS
Normal	 ON MASTELLONE HERMANOS CLASE 2	MASTELLONE HERMANOS S.A.	MTC2O 	22/06/2026	22/06/2028	Dólares estadounidenses (U$S)	Argentina		A3/BYMA	AR0469473414	CLASE 2	60000000	42000000	2026-06-18T03:00:00		37,141,229,651,657,693,656,662,480,697,686	Moody´s  A.ar 	037	6.5	0	6.5	1.89 AÑOS
Normal	ON MASTELLONE HERMANOS CLASE 3	MASTELLONE HERMANOS S.A.	MTC3O 	22/06/2026	22/06/2027	Pesos argentinos ($)	Argentina		A3/BYMA	AR0494875476	CLASE 3	60000000	25905958200	2026-06-18T03:00:00		37,141,229,651,657,693,656,662,480,697,686	Moody´s ML A-1.ar 	037	3.99	0	3.99	0.91 AÑOS 
Normal	ON TOYOTA CIA FIN CLASE 39	TOYOTA Compañía Financiera de Argentina S.A.	TY39O 	22/06/2026	22/03/2027	Pesos argentinos ($)	Argentina		A3/BYMA	AR0691517285	CLASE 39	10000000000	15699800000	2026-06-18T03:00:00		480,105,37,229,141	 FIX SCR: "AA+(arg)" 	480	3.8	0	3.8	1.22 AÑOS
Normal	ON TOYOTA CIA FIN CLASE 40	TOYOTA Compañía Financiera de Argentina S.A.	TY40O 	22/06/2026	22/06/2027	Pesos argentinos ($)	Argentina		A3/BYMA	AR0303996810	CLASE 40	10000000000	8004060000	2026-06-18T03:00:00		480,105,37,229,141	FIX SCR: "AA+(arg)" 	480	2	0	2	1.00 AÑOS
Normal	ON TOYOTA CIA FIN CLASE 41	TOYOTA Compañía Financiera de Argentina S.A.	TY41O 	22/06/2026	22/06/2028	UVA	Argentina		A3/BYMA	AR0648416813	CLASE 41	10000000000	3162649	2026-06-18T03:00:00		480,105,37,229,141	FIX SCR: "AA+(arg)" 	480	4	0	4	1.66 AÑOS
